,precision,recall,f1-score,support
ARG0,0.7392739273927392,0.9451476793248945,0.8296296296296296,237.0
ARG1,0.7906137184115524,0.6822429906542056,0.7324414715719064,321.0
ARG2,0.28205128205128205,0.14102564102564102,0.18803418803418803,78.0
ARG3,0.0,0.0,0.0,10.0
ARG4,0.0,0.0,0.0,6.0
ARGM-ADJ,0.0,0.0,0.0,0.0
ARGM-ADV,0.5128205128205128,0.3225806451612903,0.39603960396039606,62.0
ARGM-CAU,0.0,0.0,0.0,4.0
ARGM-COM,0.0,0.0,0.0,4.0
ARGM-DIR,1.0,0.3333333333333333,0.5,6.0
ARGM-DIS,0.7142857142857143,0.45454545454545453,0.5555555555555556,22.0
ARGM-EXT,0.0,0.0,0.0,6.0
ARGM-GOL,0.014925373134328358,0.25,0.028169014084507043,4.0
ARGM-LOC,0.0,0.0,0.0,23.0
ARGM-MNR,1.0,0.045454545454545456,0.08695652173913045,22.0
ARGM-NEG,0.9487179487179487,0.9736842105263158,0.9610389610389611,38.0
ARGM-PRD,0.0,0.0,0.0,3.0
ARGM-PRP,0.0,0.0,0.0,4.0
ARGM-PRR,0.0,0.0,0.0,14.0
ARGM-TMP,0.7727272727272727,0.21518987341772153,0.3366336633663366,79.0
C-ARG1,0.0,0.0,0.0,6.0
C-ARG2,0.0,0.0,0.0,0.0
C-V,0.0,0.0,0.0,1.0
R-ARG0,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
R-ARG1,0.2,0.25,0.22222222222222224,8.0
R-ARG2,0.0,0.0,0.0,0.0
R-ARGM-CAU,0.0,0.0,0.0,0.0
R-ARGM-DIR,0.0,0.0,0.0,0.0
R-ARGM-LOC,1.0,0.3333333333333333,0.5,3.0
R-ARGM-MNR,0.0,0.0,0.0,8.0
R-ARGM-TMP,0.0,0.0,0.0,0.0
_,0.9519650655021834,0.7785714285714286,0.8565815324165029,280.0
accuracy,0.6143533123028391,0.6143533123028391,0.6143533123028391,0.6143533123028391
macro avg,0.30170792319738315,0.20522544995331432,0.21793094276554326,1268.0
weighted avg,0.7165843218922807,0.6143533123028391,0.6382243008977438,1268.0
